piece	count
.	16187571
,	12010096
▁	9187160
'	8193342
▁ve	7904636
▁bir	6200170
:	3063975
▁"	2620323
"	2296718
▁için	2046587
▁olarak	1763076
▁(	1554083
a	1482280
▁bu	1325163
in	1320955
▁Bu	1312125
e	1300072
da	1284440
)	1283446
▁-	1250506
nin	1186371
de	1159044
nın	1092441
▁daha	1080351
▁da	1001753
▁ile	965951
▁olan	922159
ın	910684
▁de	896050
▁veya	889042
i	863146
-	810783
n	794153
<soru_cevap>	790635
</soru_cevap>	790635
<soru>	790635
</soru>	790635
<cevap>	790635
</cevap>	790635
?	783916
;	736118
lar	729570
▁sonra	729294
▁en	663670
ler	656719
▁gibi	633776
▁tarafından	617739
▁çok	611250
ya	584469
dan	566894
den	554513
un	550780
te	543342
na	538461
ne	527225
s	524624
▁kadar	512510
▁iki	498683
▁ilk	453319
ye	443495
▁A	442385
▁büyük	436866
k	431396
▁yılında	429031
la	425995
<wikipedia>	412085
</wikipedia>	412085
<wikipedia_başlık>	412085
</wikipedia_başlık>	412085
<wikipedia_metin>	412085
</wikipedia_metin>	412085
m	409310
ı	401767
▁olduğunu	397110
▁yer	393692
▁her	390461
dir	384289
ları	384189
nde	368596
ta	368406
le	364141
▁şekilde	363480
▁göre	361967
▁olduğu	361732
▁ancak	358161
leri	356695
▁iyi	356022
daki	355116
u	349540
▁doğru	345689
."	337468
▁arasında	335506
▁aynı	332379
▁Adım	329265
nda	321773
li	320013
▁fazla	318381
dır	313159
ni	311647
),	299233
▁Bir	296204
▁diğer	287036
▁yeni	286672
▁önemli	285673
▁ise	278131
yla	267284
▁önce	267057
▁birlikte	263450
▁ne	262822
▁karşı	262309
yi	259237
z	258863
▁sahip	254511
▁oldu	252489
d	250631
▁ilgili	247456
si	247216
deki	242416
t	238986
ların	238125
yı	237612
nun	237129
lı	235760
lerin	228268
▁etti	226709
▁hakkında	224722
▁zaman	224426
).	220759
